X,Y,FID,MSOA21CD,GlobalID,GlobalID_2
526495.5423,194160.1763,145,E02000031,a1859350-c551-4c93-8be6-896bb9ebc8f9,8782d74d-19ef-4428-bd0e-d4f8d3dc8dcb
516353.3091,179357.4859,146,E02000272,d478eead-a798-4a57-b81e-76d111f5efb0,a47e2ea7-acf7-4b8c-8e75-22ad93f718c5
496120.8437,181858.3215,147,E02003408,2d1d80a0-73df-4737-bfbe-0205cc86abf0,70b32bd4-c57e-448c-906e-7a154af45093
578260.7336,152789.0384,148,E02005080,e480f9d8-65b6-4297-9497-84a3482c37b6,8915ddc3-01b2-4511-b3ee-08f36137e1e8
246156.9067,57027.1296999995,149,E02003134,54f7d96c-bbe6-49b5-afab-60b885e07db0,c8b1dcd2-82c3-4b91-a235-2ae901936c99
360693.5944,173264.007200001,150,E02006889,6b9ab028-1af3-4df3-8fb0-472e6f2e1a10,bac04711-16e9-4008-b894-389b15a69a53
534001.8688,123967.541300001,151,E02006613,b4be49b3-333b-4fa3-ab82-2f2af2dcbc33,e8a56df7-b86c-4fee-b6c2-037c15910c29
529786.2732,175098.9354,152,E02000634,49f5c3b1-a31f-4b80-9ee2-5f505f2fec52,e8629d81-0a5f-43d1-832e-08d49228196f
444406.6444,111577.2676,153,E02003576,11e8fe4c-5c28-48b8-a22f-5fa04b1194a1,6dc23b9d-39de-4fb7-b590-bccc9ac3366f
477764.3691,173641.761600001,154,E02003442,7dae6dfe-142e-431a-8890-3492e030b3f8,16637abe-a3d6-4a6c-a5ac-8f115f4d4a27
533840.877,166841.401699999,155,E02000210,fa39d7dd-bba0-44f7-8964-757ae64ecdb7,f92026e1-67ff-406a-8365-756887f4dfa5
316418.3616,210272.778000001,156,W02000317,0367a3b8-d460-4c64-8cb3-4bb80f027d5d,3084dfca-66ae-4696-af16-02090ed6b960
504025.8279,160545.0932,157,E02006457,1a7770ab-abee-434b-8c46-662245d23521,1f938ec1-fa0b-4bd2-824f-a690ce8dddf4
550251.6554,185065.8462,158,E02000011,9c14de38-3810-4502-85fd-c6f939d2f4d2,e674f980-5fdb-43c9-bc87-3e3349d62035
635407.4951,170287.6708,159,E02005134,2a6f2884-cb2e-40d5-8ffd-a7fdb89d802f,8228d1c7-4e74-4cbf-88e9-a91592a7df03
462740.4282,150188.3632,160,E02004690,f67a5c5e-7661-4014-95ae-28c9556bfc44,baeee7ca-40e0-476c-b1e6-0c7983b00c4f
542370.1029,189177.4519,161,E02006925,29e568f0-0104-4749-b418-f0a9b78e0fcd,d0cd8edf-9e37-4661-845e-5bb9c00b5d4c
511346.3938,187770.4813,162,E02000499,d7d04d20-13ec-4001-8e8c-1ad358e4b5a4,ff34f201-795e-407a-8f65-d5c705afbfa7
409088.8887,293724.4858,163,E02001840,586389b7-30c5-4b61-ad3a-851498d8a8df,e9fad931-c815-487f-a7d5-e31b23a3cf6c
316408.3698,100595.9319,164,E02004130,0368e10d-e228-4dbd-a552-3c2db1b3e279,df267738-8e10-4156-b62c-b5fac2e30551
408693.8229,283099.796399999,165,E02001919,3cc6aeb0-ca55-4475-be42-aa10c028b5c6,6e5b8904-a2b7-4f67-ab5c-16682cb13add
529451.347,178079.2498,166,E02000983,493aa8cb-500c-4bc8-b55f-e5d866cf46f0,c445c9bb-03d7-48e7-b538-c5f8f17e5ce6
367139.1331,77862.1195999999,167,E02004286,b0bae51b-7c10-4c71-9f04-68420bf3b5a4,436d42fb-f361-45a8-8332-e6ae795bddb9
225698.7011,64767.2160999998,168,E02003895,ca1a7318-f575-49e0-94f4-d67e6eadae3d,cc6940cf-80c0-451f-9587-06c1d22fd7dc
557080.1353,171285.572799999,169,E02005039,c09aaa2c-0c34-4eea-ac2c-d9ca748b624a,e7741900-1bea-4268-ba9f-fd26da972431
356193.2428,175823.6445,170,E02003026,b2ed5eda-0316-4625-ac26-217d3b207dee,f3859d46-a743-4dda-8556-8c65184d77b6
343372.6474,187344.718,171,W02000346,c8b3b3bf-9400-4ab9-8fac-01c7eddf613b,c8a12c46-e80e-484a-b0b6-c1bed7523705
637014.6461,152683.4311,172,E02005043,93c69d88-9da4-4695-8967-c0f93bf7e6fa,497141e3-72b2-4e7a-a7ba-6d6bc1562d3f
536716.1618,189810.8969,173,E02000906,376d27f6-57e3-4692-98a0-fc09f28fa3d4,f66d4d8d-64f7-44d6-b805-9b617b100521
327964.4007,125655.782400001,174,E02006103,2b9fed17-327e-422a-a5a5-b5e88556d8e8,b325512b-7723-4c93-9338-1770d16579a4
146768.4805,31121.6855999995,175,E02003948,be6eac38-9b61-49c9-8c11-44499d11e632,73c46d39-4fc5-42d6-b7b2-5548b1cbd3f3
464726.14,101333.5978,176,E02003536,926bc5c9-a151-48b2-8e0d-1a71d5898d2f,3a5168bf-a7f0-479c-82be-62a760d249a9
545927.2842,172205.0912,177,E02000090,f24ce6e0-f9e7-4077-ad9c-38c2f2603c1c,5d798389-ec36-4550-a93e-43e782b4ab32
166969.4214,43380.5247000009,178,E02003918,896ec711-1ef9-4f54-805a-6238d3ef1b5c,d2d3c968-19c8-4129-9484-487df8687f1c
505792.3895,181312.1719,179,E02000515,b447485c-f54e-416b-9447-de291313bf71,6a693df5-bc30-47a1-814a-f5a69b132503
579799.5785,167126.7315,180,E02003331,a92a8de8-d9cc-4a48-b0e6-6c4b5f88e8e9,4917e025-387c-4321-8c7b-313c0ab076cd
